W/L,Outcome Type,Win or Loss Reasons- (New CRM PickList),Old PickList (for mapping),Definitions,Control Level,Cont/UnCont Definitions
Loss Reason,Process/Admin Closure,Disqualified- No Valid Opportunity,Disqualified,"Did not meet qualification criteria (authority, need, timing).",Controllable,Qualification rigor and CRM hygiene are internal responsibilities.
Loss Reason,Process/Admin Closure,Piplein Clean Up,Pipe clean up,Opportunity closed for CRM hygiene or inactivity.,Admin,
Win Reason,Product Strength,"High-Quality, Well Structured Data","Clean, High-Quality Data & Meta-Data)","Trusted macroeconomic data with strong metadata, consistency, and reliability.",Controllable,"Data sourcing, QA processes, metadata standards."
Win Reason,Product Strength,Broad & Deep Data Coverage,Width of Data Available,"Extensive coverage across countries, indicators, frequencies, and history.",Partially Controllable,nfluenced by acquisition strategy and roadmap.
Win Reason,Product Strength,Data Structure and User Interface,User Interface & Data Structure,"Platform was easy to learn, navigate, and use effectively.",Controllable,"UX design, onboarding, and product evolution."
Win Reason,Product Strength,No Code Analytics,"Simple Analytics, requiring no coding skills",Users could perform analysis and modeling without programming expertise.,Controllable,"Feature design, defaults, templates, training."
Win Reason,Product Strength,Powerful Visualization and Charting,Charting & Visualization,Visual outputs met professional and presentation-quality standards.,Controllable,"Charting engine, styling, export options."
Win Reason,Product Strength,Operational Efficiency and Workflow Improvement,"Ease of update, removal of workarounds","Platform reduced manual work, errors, and legacy workarounds.",Controllable,"Automation, update mechanisms, and workflow tooling."
Win Reason,Product Strength,AI-Enabled Productivity or Insight,,"AI features materially improved speed, insight generation, or usability compared to alternatives.",Controllable,"Feature design, augmentation value, intelligence provided"
Win Reason,Technology & Integration,Integration with Existing Tools and Workflows,Interconnectivity with existing tools,"Fit seamlessly into Excel, Python, BI tools, or internal systems.",Partially Controllable,"APIs, connectors, documentation, but depends on client stack."
Win Reason,Technology & Integration,"Collaboration, Sharing and Access Model","Sharing of finished work, Platform access & storage","Enabled easy sharing, access control, and reuse across teams.",Controllable,"Licensing, permissions, sharing features."
Win Reason,Commercial,Compelling Value for Price,"Pricing – compelling value-add, Pricing – cheaper vs alternatives)",Pricing was justified by value delivered relative to alternatives.,Controllable,"Pricing, packaging, and value articulation."
Win Reason,Competitive,Adopted as a Core Team Platform,Need Macrobond as central tool in the team,"Platform became the standard, central macroeconomic tool for the team.",Controllable,"Product breadth, adoption strategy, and account expansion."
,,,,,,
,,,,,,
Add a field,Did AI Influence the Decision?,"Yes - Primary Driver, Yes- Secondary Driver, No",,,,
,,,,,,
,,,,,,
,Outcome Type,Control Level,,,,
Layout,Win Reason,Win Reason Note,,,,
,Loss Reason,Loss Reason Note,,,,
,Cancellation Reason,Cancellation Reason Note,,,,
,Did AI Influence the Deal?,,,,,
